,data,cena
0,2021-09-30,221.64
1,2021-10-01,223.7
2,2021-10-04,224.14
3,2021-10-05,222.07
4,2021-10-06,223.72
5,2021-10-07,226.27
6,2021-10-08,222.83
7,2021-10-11,226.76
8,2021-10-12,225.26
9,2021-10-13,225.45
10,2021-10-14,227.56
11,2021-10-15,227.87
12,2021-10-18,224.61
13,2021-10-19,224.35
14,2021-10-20,224.33
15,2021-10-21,225.37
16,2021-10-22,225.69
17,2021-10-25,230.09
18,2021-10-26,229.27
19,2021-10-27,228.15
20,2021-10-28,229.81
21,2021-10-29,231.56
22,2021-11-02,228.74
23,2021-11-03,228.97
24,2021-11-04,224.99
25,2021-11-05,229.89
26,2021-11-08,231.2
27,2021-11-09,232.88
28,2021-11-10,232.78
29,2021-11-12,237.35
